artist,song,album,label,year,isrc,position,spin_id,playlist_id,show,date,playlist_url
Lanue,September,Lanue,Lanue,2021,TCAFI2155366,1,423534997,21175496,WDSE 1033 The North,"Sep 3, 2025",https://spinitron.com/WDSE/pl/21175496/
Ingeborg von Agassiz,Will You Go?,O Giver of Dreams,Ingeborg von Agassiz,2018,TCADN1818594,2,423535351,21175496,WDSE 1033 The North,"Sep 3, 2025",https://spinitron.com/WDSE/pl/21175496/
Zoo Animal,Black and Gold,Young Blood,Waxploitation Records,2019,USHM20874856,3,423535487,21175496,WDSE 1033 The North,"Sep 3, 2025",https://spinitron.com/WDSE/pl/21175496/
The Hold Steady,I Hope This Whole Thing Didn't Frighten You,I Hope This Whole Thing Didn't Frighten You,Razor & Tie,2014,USRZR1351501,4,423535791,21175496,WDSE 1033 The North,"Sep 3, 2025",https://spinitron.com/WDSE/pl/21175496/
Motion City Soundtrack,Your Days Are Numbered,Your Days Are Numbered,Epitaph,2025,USEP42518006,5,423536131,21175496,WDSE 1033 The North,"Sep 3, 2025",https://spinitron.com/WDSE/pl/21175496/
Hobo Nephews of Uncle Frank,Between the Lamp Post and the Blue Moon,Number One Contender,Consider It Correspondence,2013,USCGH1358911,6,423536534,21175496,WDSE 1033 The North,"Sep 3, 2025",https://spinitron.com/WDSE/pl/21175496/
Gaelynn Lea,Starving,Starving,Gaelynn Lea Music,2025,QZ5342500001,7,423536712,21175496,WDSE 1033 The North,"Sep 3, 2025",https://spinitron.com/WDSE/pl/21175496/
Trampled by Turtles,Forever,Always Here,Banjodad Records,2024,USX6D2400003,8,423536840,21175496,WDSE 1033 The North,"Sep 3, 2025",https://spinitron.com/WDSE/pl/21175496/
Cloud Cult,Vision In A Field,Alchemy Creek,DISTROKID,2024,QZRP52433133,9,423537251,21175496,WDSE 1033 The North,"Sep 3, 2025",https://spinitron.com/WDSE/pl/21175496/
Good Morning Bedlam,Blessed Boy,Blessed Boy,Bedlam Records,2021,QZK6H2151208,10,423537515,21175496,WDSE 1033 The North,"Sep 3, 2025",https://spinitron.com/WDSE/pl/21175496/
Gary Louris,Dead Porcupine,Dark Country,SHAM,2025,QMBZ92485846,11,423537837,21175496,WDSE 1033 The North,"Sep 3, 2025",https://spinitron.com/WDSE/pl/21175496/
Golden Smog,You Make It Easy,Another Fine Day,Lost Highway Records,2006,USUM70600697,12,423538203,21175496,WDSE 1033 The North,"Sep 3, 2025",https://spinitron.com/WDSE/pl/21175496/
Paul Westerberg,Meet Me In The Meadow,Open Season: Featuring the songs of Paul Westerberg,Lost Highway Records,2006,USUM70607216,13,423538602,21175496,WDSE 1033 The North,"Sep 3, 2025",https://spinitron.com/WDSE/pl/21175496/
Rachael Nemiroff,Minnesota,Minnesota,Rachael Nemiroff,2021,QZFYZ2148908,14,423538901,21175496,WDSE 1033 The North,"Sep 3, 2025",https://spinitron.com/WDSE/pl/21175496/
The Time,Cool,The Time,Warner Rhino Off Roster-Audio,1900,USWB19903586,15,423539209,21175496,WDSE 1033 The North,"Sep 3, 2025",https://spinitron.com/WDSE/pl/21175496/
Vicious Vicious,It's a Serious Thing,Don't Look So Surprised,Giant Client Publishing (ASCAP) 100,2010,USI4R0507794,16,423540090,21175496,WDSE 1033 The North,"Sep 3, 2025",https://spinitron.com/WDSE/pl/21175496/
Kaylee Matuszak,Seek and Destroy,Leading Lady,Kaylee Matuszak,2024,USHM82410062,17,423540387,21175496,WDSE 1033 The North,"Sep 3, 2025",https://spinitron.com/WDSE/pl/21175496/
The Penny Peaches,Ready To Die (One Mic Take),Ready To Die (One Mic Take),The Penny Peaches,2025,QT23N2400012,18,423540712,21175496,WDSE 1033 The North,"Sep 3, 2025",https://spinitron.com/WDSE/pl/21175496/
Grant Glad & the Soo Line Loons,Oldsmobile,Oldsmobile,Quit Your Day Job Records,2024,QZHN62478238,19,423540955,21175496,WDSE 1033 The North,"Sep 3, 2025",https://spinitron.com/WDSE/pl/21175496/
Rachael Kilgour,Touch Your Woman,Will You Marry Me?,Rachael Kilgour,2011,USX9P1079018,20,423541142,21175496,WDSE 1033 The North,"Sep 3, 2025",https://spinitron.com/WDSE/pl/21175496/
Doyle Turner,Sticking with You,Paper Maps,Doyle Turner,2024,USL4R2408933,21,423541505,21175496,WDSE 1033 The North,"Sep 3, 2025",https://spinitron.com/WDSE/pl/21175496/
The Tisdales,Trouble Ain't Too Hard to Find,Supercaldera,Sparta Sound,2012,USCGH1293619,22,423541674,21175496,WDSE 1033 The North,"Sep 3, 2025",https://spinitron.com/WDSE/pl/21175496/
WILD HORSES,When I Was Younger,When I Was Younger,DISTROKID,2025,QZWFE2584096,23,423541998,21175496,WDSE 1033 The North,"Sep 3, 2025",https://spinitron.com/WDSE/pl/21175496/
Cousin Dad,I Do What I Can,Second Cousin,Cousin Dad,2016,USHM81604669,24,423542295,21175496,WDSE 1033 The North,"Sep 3, 2025",https://spinitron.com/WDSE/pl/21175496/
Gospel Machine,Them Young Girl Blues,Your Holy Ghost,Gospel Machine,2015,QM4VM1500007,25,423542622,21175496,WDSE 1033 The North,"Sep 3, 2025",https://spinitron.com/WDSE/pl/21175496/
Yam Haus,The Thrill,The Thrill,Hover Coalition,2020,TCAEH1900645,26,423542876,21175496,WDSE 1033 The North,"Sep 3, 2025",https://spinitron.com/WDSE/pl/21175496/
Mary Bue,Trying to Fight the Wind,Trying to Fight the Wind,Mary Bue,2025,USCGH2512064,1,424207243,21209022,WDSE 1033 The North,"Sep 10, 2025",https://spinitron.com/WDSE/pl/21209022/
José James,Bird Of Space,No Beginning No End,Blue Note Records,2018,USBN21200770,2,424207472,21209022,WDSE 1033 The North,"Sep 10, 2025",https://spinitron.com/WDSE/pl/21209022/
Bad Bad Hats,TPA,TPA,Don Giovanni Records,2024,USA2B2319921,3,424208119,21209022,WDSE 1033 The North,"Sep 10, 2025",https://spinitron.com/WDSE/pl/21209022/
Prince & The Revolution,Kiss,Parade - Music From The Motion Picture Under The Cherry Moon,Rhino Warner,2017,USWB10808445,4,424208352,21209022,WDSE 1033 The North,"Sep 10, 2025",https://spinitron.com/WDSE/pl/21209022/
Actual Wolf,Be My Love (American Hips),Faded Days,Red House Records,2017,USRHR1730402,5,424208736,21209022,WDSE 1033 The North,"Sep 10, 2025",https://spinitron.com/WDSE/pl/21209022/
MR DR,Do You Miss Me?,Summer in the Backseat,Mr Dr,2017,TCACS1606067,6,424209044,21209022,WDSE 1033 The North,"Sep 10, 2025",https://spinitron.com/WDSE/pl/21209022/
The Cactus Blossoms,Is It Any Wonder,Every Time I Think About You,Walkie Talkie Records,2024,USA2B2402587,7,424209219,21209022,WDSE 1033 The North,"Sep 10, 2025",https://spinitron.com/WDSE/pl/21209022/
Sonny Knight & The Lakers,Sugar Man - Live,Do It Live,Secret Stash Records,2015,FRX201564301,8,424209544,21209022,WDSE 1033 The North,"Sep 10, 2025",https://spinitron.com/WDSE/pl/21209022/
Sarah Streitz,He Only Drinks Wine When I'm Buyin',Cut Flowers,Sarah Streitz,2020,usl4q2012740,9,424209988,21209022,WDSE 1033 The North,"Sep 10, 2025",https://spinitron.com/WDSE/pl/21209022/
Alex Crankshaft Larson,Loose Cannon,Tied to the World Behind Me,Self,2015,TCACI1531603,10,424210223,21209022,WDSE 1033 The North,"Sep 10, 2025",https://spinitron.com/WDSE/pl/21209022/
Alison Scott,I Feel The Earth Move,Wish On The Moon,Alisco Records,2007,USHM20853088,11,424210454,21209022,WDSE 1033 The North,"Sep 10, 2025",https://spinitron.com/WDSE/pl/21209022/
Charlie Parr,Ten Watt,Little Sun,Smithsonian Folkways Recordings,2024,USSF12326206,12,424210680,21209022,WDSE 1033 The North,"Sep 10, 2025",https://spinitron.com/WDSE/pl/21209022/
Caroline Smith,Walking off Strong,Half About Being a Woman,United Interests,2013,USA6B1311506,13,424211130,21209022,WDSE 1033 The North,"Sep 10, 2025",https://spinitron.com/WDSE/pl/21209022/
Mae Simpson,Cap Guns,Cap Guns,DISTROKID,2023,QZK6F2393076,14,424211431,21209022,WDSE 1033 The North,"Sep 10, 2025",https://spinitron.com/WDSE/pl/21209022/
Gully Boys,Mother,Mother,Smartpunk Records,2025,QZ5F42500044,15,424211717,21209022,WDSE 1033 The North,"Sep 10, 2025",https://spinitron.com/WDSE/pl/21209022/
The Fractals,Devil Girl Martian,Death by Fender,The Fractals,2010,USHM21001210,16,424211967,21209022,WDSE 1033 The North,"Sep 10, 2025",https://spinitron.com/WDSE/pl/21209022/
Rick McLean,Electric Bus,Zoom Out & Breathe,904860 Records DK,2025,QZPLS2526763,17,424212145,21209022,WDSE 1033 The North,"Sep 10, 2025",https://spinitron.com/WDSE/pl/21209022/
Marc Gartband,Over the Moon,Over the Moon,Marc Gartband,2025,USDY42577005,18,424212376,21209022,WDSE 1033 The North,"Sep 10, 2025",https://spinitron.com/WDSE/pl/21209022/
